OBJECTID *,GIS_ACRES,REGION,THP_YEAR,THP_NUM,COUNTY,TIMBEROWNR,LANDOWNER,SILVI_1,SILVI_2,SILVI_CAT,YARD,UNIT,PLAN_STAT,APPROVED,COMPLETED,COMMENTS,SPATL_MOD,MODIFIED,HD_NUM,GLOBALID *,Shape__Area *,Shape__Length *,Shape *
30987,1.802561,1 - Coast,2002,269,Humboldt,Humboldt Redwood Co,Humboldt Redwood Co,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,5/13/2003 7:00,12/15/2008 8:00,<Null>,<Null>,<Null>,1-02-269-HUM,{79b856bc-3ee2-4237-91d6-643b1069b3d8},7294.707191,466.894166,Polygon
30988,1.284295,1 - Coast,2002,269,Humboldt,Humboldt Redwood Co,Humboldt Redwood Co,No Harvest Area,<Null>,No Harvest Area,<Null>,<Null>,Completed,5/13/2003 7:00,12/15/2008 8:00,<Null>,<Null>,<Null>,1-02-269-HUM,{5bdbecdd-33fb-4359-89e0-ac89a77ec092},5197.358383,329.495719,Polygon
32133,5.805863,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{37034fa7-b563-426d-b3cf-0c0e05b55cee},23495.49305,832.596477,Polygon
32134,7.545341,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,NAIP_2009,8/2/2010 7:00,1-06-102-MEN,{ef2360f7-3d9d-4de2-b232-1053a8bb800f},30534.91182,1178.308994,Polygon
32135,3.281045,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{7dab5397-4eb2-4cec-8160-5f8aa8c7f88c},13277.91649,689.462069,Polygon
32136,1.322294,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{2ed3c51e-9f58-41b4-94c5-f39862b9c259},5351.134132,360.413543,Polygon
32137,23.635706,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Transition,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,NAIP_2009,8/2/2010 7:00,1-06-102-MEN,{239eb2c3-57b3-4bd9-9172-bda31e4ac1fe},95650.30909,1393.316149,Polygon
32202,9.102525,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{9201d35a-0c18-4dfc-8cd8-12892a1dd4fa},36836.61168,1059.079721,Polygon
32203,4.036806,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Rehabilitation of Understocked,<Null>,Special Prescriptions & Other Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,<Null>,<Null>,1-06-102-MEN,{f80e95e6-79f8-45be-9572-75466f8db3a9},16336.37576,528.005096,Polygon
32204,21.903774,1 - Coast,2006,102,Mendocino,Soper Wheeler Co,Soper Wheeler Co,Group Selection,<Null>,Unevenaged Management,Tractor or Skidder,<Null>,Completed,10/3/2006 7:00,12/12/2008 8:00,<Null>,NAIP_2009,8/2/2010 7:00,1-06-102-MEN,{d4b091e4-881a-40b7-9930-d2d678546b6f},88641.42809,2174.977511,Polygon
